,username,rating,review_year,review_month,platform,headline,post_text,visit_year,visit_month
73,155stephenf,5,2018,2,non-mobile,The best pub experience,Excellent beer 10 real ales / Excellent food choice / Great loaction / welcoming staffParadise in Cheshire.,2018.0,2.0
74,Scottzbj,5,2018,1,mobile,Excellent!,"This is a fantastic pub somehow managing to feel like a traditional village pub but also a great place for a meal. Plenty of ales on tap, separate bar and dining areas, pickled eggs behind the bar, open fires and excellent, fresh Indian food. Staff were all pleasant and helpful and it felt very welcoming for families. We had lunch and the drinks and food were both very good value.",2018.0,1.0
75,LauraJUK,5,2017,12,mobile,Fantasies staff and food,"My partner and I enjoyed a mid afternoon meal, we shared a brie and he ordered the pheasant for main, I asked for a slight variation off the menu and staff were more than happy to oblige. The waitress was very friendly and I noted extremely helpful to another customer who had a young child with her. Food was home cooked and reasonably price, would like to go back again soon ",2017.0,12.0
76,417smartcar,5,2017,12,non-mobile,meet each month..1st thursday each month,"We meet 1st Thusday each month (VSCC) swap stories on recent ""finds"" Summer time lots of interesting cars arrive",2017.0,12.0
77,niallshepherd,5,2017,11,non-mobile,Consistant excellence!,"The older I get, the less inclined I am to recommend any restaurant... but with the Bhurtpore it is consistently excellent. Last visit (Tue 07-Nov) was with friends who first introduced us to this great hostelry. We had eagerly looked forward to our visit and we weren't disappointed. Always a warm welcome from the staff and a wonderful selection of guest beers and ales. The food has a well deserved reputation and we always find something just that little bit different and appetizing on the specials board. Give it a try... I'm confident you will enjoy the experience. ",2017.0,11.0
78,crossy44,5,2017,11,mobile,Great local ,The Bhurtpore is a great little pub and restaurant. It offers food at lunchtime and over the weekends and there is always a large menu to choose from. There is a separate restaurant seating area and a pool room and bar room with a quieter conservatory. It is dog and wheelchair accessible and the locals are friendly. Really like the place and the new ales that are regularly featured. ,2017.0,10.0
79,Donna M,3,2017,10,mobile,Birthday meal,Seemed to have quite a lot of tables in a fairly small area. Only two members of staff waiting tables and it was quite busy. We waited for about 20 mins for order to be taken and 40 mins for meals. Food was ok and not badly priced for what we got. Not somewhere I would think about going to again as hasnt left a lasting impression. Sorry,2017.0,10.0
80,Irishrob88,5,2017,10,mobile,Couldn’t ask for better,"This place is great, a real gem if you are into good quality authentic curries. They have a great selection of real ales and even a locally brewed cider! The staff are excellent and friendly with nothing being too much trouble for them. They are well trained and more than happy to help. The curries are the star of the show so make sure to try one, if your adventurous try one of the specials.",2017.0,10.0
81,lm259,5,2017,9,mobile,Fab selection of cask ales and food,Best array of guest real ales in the area and an extensive menu of food. Haven't had a bad or average meal here yet! Always a warm welcome with a great atmosphere in this traditional pub.,2017.0,9.0
82,Sue H,5,2017,9,mobile,Excellent Pub,"Visited pub whilst passing through Wrenbury by narrowboat. Met with friends there. Have been here a few times, and it never disappoints. Excellent choice of real ales. Food also excellent - we all had various curries. Bill greeted my huband by name, despite us only visiting twice a year. Really lovely waitress who looked after us all. Can't recommend this pub highly enough. Only disappointment is that we can't get here often enough - we can see what we're missing out on!",2017.0,9.0
83,Marina L,4,2017,8,non-mobile,Great curry and top beer,Had a lovely curry and a great selection of beers. I had a pale ale which was very nice. Ginger dessert served as a small portion much appreciated.,2017.0,8.0
84,andy_takes_a_trip,4,2017,7,non-mobile,"Great Deserts, good selection of ales, helpful staff","Good choice of ales. There didn't seem to be a great selection of vegetarian options on the menu boards, but I was in the mood for a veg curry so that wasn't a problem. The rest of the family are carnivores, so they were ok.The vegetable curry was good, but not outstanding. I nicked a few chips from elsewhere on the table, and they were pretty good. Food presentation was good.The puddings were great - I had the baked nutella and hazelnut cheesecake, which I can recommend. you wouldn't know there was nutella involved. Everyone else's puddings looked rather nice, and they enjoyed them, although a couple of them will probably be ordering the cheesecake next time.The staff were really helpful, even though we didn't really know what we wanted to order for ages, and we hadn't booked either. We didn't have to wait all that long for our food.",2017.0,7.0
85,Neil W,3,2017,7,non-mobile,meal great but service poor,"Saturday 5th july 2017 , lovely weather and great atmosphere outside . We had booked a table in the restaurant for 4. Meal was excellent but service was poor . We were asked togo to the bar ourselves for our second drink ( which is no hardship but nowadays doesnt happen in restaurants ) plus after our meal the plates werent collected and we were not asked if we wanted dessert or coffees . Possibly a one off but spoilt evening a little . We have been to this pub before and not had a problem .",2017.0,7.0
86,gastronaut2010,5,2017,7,mobile,Excellent afternoon,Turned up mid afternoon on a Sunday in hot sunshine and a band was setting up and there were big entertainment tents in the beer garden. Had a few drinks (great selection of everything especially real ales of which there must be 10 or 12 on the blackboard). The pub is renowned for curries. I think the owner Simon makes them. The choice of curries is just superb. The quality is in my opinion better than any Indian/Bangladeshi/Pakistani restaurant. In the past I've had beef madras or a venison curry they do but today we had a mince lamb with bitter gourd which was divine. Such a nice taste and I liked the authentic touch of the bitter gourd. Think that one was called Keema Karella . And we also had a chicken Tamil dish which was lovely. The flavours are spot on. I could eat those curries every day. I only pop in once a month or couple of months if I'm lucky as I don't live so close now but it's a lovely pub. I first went in 1997 when Simon took over (approx?) and the pub has grown out over the years but it's still as good as ever. I can't drink as much as I used to but it's still a great place to wile away the Sunday afternoon. We even got to watch England finish off South Africa in the cricket before listening to a few songs from the band. You get a nice crowd in here whom I prefer to elsewhere. ,2017.0,7.0
87,rockyWirral,5,2017,6,non-mobile,great excellent food and staff,"been going regularly for a few years now nearly every week and never ever had a bad meal, they have some great choices and quality food, The chefs and kitchen staff really know their stuff. I had a goats cheese tartlet with onions and sundried toms in light pastry with a basil sauce It was delicious, wife had Steak baguette which is gorgeous. Its a very friendly pub with great friendly hardworking staff, well most of em anyway ahhhaha and nothing is too much trouble. Always look forward to going its a great pub just need to rebuild it nearer to me",2017.0,6.0
88,Frank W,5,2017,6,non-mobile,Lovely late Saturday lunch,"3 p.m Saturday lunch found the pub/restaurant quiet but non the less welcoming. Pleasant and friendly service, food was excellent. recommend the gammon, black pudding and egg !!!",2017.0,5.0
89,Martin C,5,2017,6,non-mobile,family meal,"Great selection of real ales, beers, wines and ciders. Food was lovely all home cooked and traditional pub food, locally sourced and perfectly cooked. Staff are friendly and service is top notch. Also great for a drink during the day, and dogs are welcome too.",2017.0,5.0
90,Jamie P,5,2017,6,mobile,Consistently excellent ,"We've been coming back to the Bhurtpore for years due to the fabulous menu, fresh delicious ingredients and choice of beers. They have really focused on the kitchen, the staff and creating a serious gastro-pub but with no pretence. It is great value every time.",2017.0,6.0
91,stargirl04,4,2017,5,non-mobile,"Great food, quirky pub.","Having had a lovely meal here a couple of years ago, my husband decided to try it again for his birthday lunch treat.We were greeted by friendly staff on arrival & decide to sit in a quieter part of the pub, we later discovered that this meant that we could not see the specials board so had to go into another room to read what was on offer.We thought that the set menu was quite standard fayre but the specials on offer truly were special & we were spoilt for choice!In the end we both plumped for the black pudding starter with apple & mustard which was piping hot & delicious. My husband had the beef & stilton pie which he raved about & I had the pork fillet with black pudding (a girl can never have too much black pudding!) which again was cooked to perfection. At most pubs, you tend to get a lot of meat & hardly any veg, not the case here, we had carrots, broccoli, cauliflower & new pots which were all great & filled us up!Our only criticism is that we had to go into the other room to see the specials board & can imagine that it can get very congested around this area in busier times-maybe the staff could print out on paper & give out at the same time as the set menu to avoid this?We were really pleased that we decided to try the Bhurtpole again & after today will definitely be returning in the future!",2017.0,5.0
92,Kre9,4,2017,5,mobile,Lovely food just the veg portion is too small ! ,Have been many times to the bhurtpore and the food is always brilliant. My only complaint is the veg which you get to share between 2 people or 3 is really not enough ! If only they could issue a little more veg after all it's not that expensive ! ,2017.0,5.0
93,H780SHrobertm,5,2017,5,mobile,What a gem,"We visited the Bhurtport on a quiet Saturday and were able to have a choice of tables, something that I have never previously managed. As always a wide range of cask ales were on offer coupled to a selection of traditional cider. I chose a chocolate stout which was very smooth. 2 gammon egg and chips were quickly dispatched from the kitchen; and very good they were with perfectly cooked vegetables. I am assured the traditional cider complemented the meal perfectly. This is an award winning pub and it is easy to see why, excellent beers, friendly attentive and above all knowledgeable staff. Well worth the drive! We will be returning to try one of the highly recommended curries and some more of the wonderful beer  ",2017.0,5.0
94,TheBKing,5,2017,4,non-mobile,Best ever curries!,"We are frequent visitors to this lovely pub which serves the best homemade curries ever, not to mention the impressive selection of ales. The staff are so friendly and accomodating...thanks to the Landlord Simon for keeping such an excellent house. See you again soon. ",2017.0,4.0
95,rockyWirral,5,2017,4,non-mobile,awesome goat curry with delicious chunky chips,"had the Goat curry and wife had steak and kidney pie both thouroughly delicious and a portion of more than adequate size, I always say match the portion to the size of the mouth. We go most weekends and its a 76 mile round trip for us and we make it a day out and this pub has a great selection of normal size meals and smaller sizes and the quality is top wack. Weve been going there for 8 yrs and never had anything but quality food served by excellent friendly hardworking staff. Well most of em anyway. we also had a gut busting crème egg cheesecake omg delicious. Thanks guys",2017.0,4.0
96,johnbrooksbank,5,2017,4,mobile,Great ale and food,This place is first rate in every respect. A massive choice of real ales that changes regularly and the best pub curry I've ever had and it certainly challenges some Indian restaurant curries I've had. The main food menu is just the beginning. A huge choice of quality specials is always available. Go there but make sure you book. It gets very busy at the weekends. You won't be disappointed.,2017.0,4.0
97,Hawkthestayer,5,2017,4,mobile,Best Curries around!,Have been several times for the landlord's home made signature curries. Fit for a connassuer and washed down by an enviable selection of guest beers it's always a treat . The chips and all the food is home made so whoever said frozen chips is inaccurate. I've been going years and never had a frozen chip yet. The pub is a gem of a free house and the staff are friendly and attentive. A great night out always and a no brainer if you live locally. They even do takeaway food and beer in a box.,2017.0,4.0
98,Amanda C,5,2017,4,non-mobile,Fantastic array of beers!,"This is a gem of a pub in the heart of Aston village. The vast array of beers is always the main attraction, but the food is also excellent. The beer garden is also very nice when the sun is good enough to shine!",2016.0,12.0
99,glyn r,3,2017,4,non-mobile,Its all about the beer,"We have visited the pub many times over a number of years and whilst the beer selection is as good as ever, we feel the quality of the meals isn't what it once was.There was a lack of quality and quantity in the food and we expected better than cheap frozen chips.",2017.0,4.0
100,Yorkshire461,4,2017,3,mobile,Lovely relaxing lunch ,"Wanted something quiet and relaxing and this is what we found with some great food and friendly service- thanks, just what we needed today!",2017.0,3.0
101,rockyWirral,5,2017,3,non-mobile,top pub,"I had the delicious steak n kidney homemade pie which is always delicious, but my wife had the mushroom pasta think with truffle. Omg it was absolutely delicious sorry I didn't have it I had a taste if its on again am gonna have that next time I'm in. Staff are really attentive and friendly, it says here? No its a great place get yourself down there",2017.0,3.0
102,Trehwfa38,5,2017,3,non-mobile,Mid afternoon meal,Visited on a Saturday afternoon for dinner. Good choice of food off menu or specials off the board. We both had starters and main courses. All food very tasty and well cooked.Food order is taken at your table by friendly and efficient staff.Steak Stilton and red wine pie served in a short crust pastry is highly recommended.Good selection of real ales available from bar.Have already booked a return visit.,2017.0,3.0
103,Peche05,4,2017,2,mobile,Great beer and excellent choice of curries,Great range of real ales in a real pub. Good choice of curries with a good hot beef madras or very hot vindaloo for those with a strong constitution.,2017.0,2.0
104,thebooths19,5,2017,2,mobile,Love this place!,"We have been coming to the Bhurtpore for years and have never been disappointed. The service is always friendly and efficient, the selection of real ales a delight to my husband and our friends and the food always excellent. Long may it continue - thank you! ",2017.0,2.0
105,697cathb,5,2017,2,mobile,Love this place,Always loved this place Simon and nic plesant and staff lovely . Food as always fabulous and the real ale always a plus ,2017.0,1.0
106,Joandowell,5,2017,2,non-mobile,"Welcoming country pub, good value and great curries","We really like it here for lunch. It has a cosy feel, open fire in winter, friendly helpful staff. The menu is fairly traditional, but never had a bad meal there. Today we had curry, which is one of their specialities. I had a chicken and spinach Baltic, which was spot on. Tender chicken in a great sauce. Nice dry house white and a good beer selection,",2017.0,2.0
107,Rodney-j-50,4,2017,1,non-mobile,Evening meal,"A traditional old English pub.Has a huge range of Real ales and is always updated on a regular basis.Food was good, although you need to check the specials board as menu is not as good.Best sit in the restaurant rather than the front door, as once opened it was freezing and took ages to warm up again.",2016.0,12.0
108,KC5001,5,2017,1,non-mobile,Excellent food,"Haven't been here in years but will definitely be back soon. A large range of food available on the specials board. This visit was part of a large group. All the hot was piping hot and tasty, portions were large and everyone enjoyed their starters, mains and desserts. My curry was lovely. Service was good. Atmosphere great.",2017.0,1.0
109,walshy1160,5,2017,1,non-mobile,Excellent quality food and warm welcome,Tucked away in the village of Aston just off the main Whitchurch/Nantwich Road this is clearly a popular pub with lots of choice in terms of real ales and drinks and an absolutely amazing menu and specials board. We had attended as a group of about 10 and as usual the time taken to select starters mains etc took a little time but the staff provided us all with time and help. All courses were served methodically and the portions were large and of a good quality. All in all a lovely pub with cracking food and drinks.,2017.0,1.0
110,cromwellhoward,5,2017,1,non-mobile,Superb yet again,"Visited again as a group and had yet another amazing curry with excellent service. I'm not surprised the place is always busy, even on Wednesday evenings.Not too fond of all the blonde real ales though, please bring back some darker ones.",2017.0,1.0
111,NbMaggieMay,5,2017,1,mobile,Excellent food and service,"We eat at the Bhurtpore Inn quite frequently. The food here is excellent and there are usually a few good vegetarian options. I can recommend the cheese and leek cakes and the cheese pie. The meat eaters tell me the Sunday lunch is extremely tasty and very good value. Oh, and the puddings, if you have room, are yummy!! Add to that friendly staff and you can't really go wrong. Highly recommended.",2017.0,1.0
112,roland g,5,2016,12,non-mobile,If you want a good deal.,I have been using this pub for over 40 years and at one time it closed and nearly finished altogether. Fortunately it was rescued by Simon George and his wife who turned it into a real ale pub and then a top class restaurant. It might not be Michelin starred but it does what it should do i.e. serve good food ( and beer ) at reasonable prices. I have just had lunch there and as always it was excellent. The place was warm and friendly and the staff outstanding. What I particularly liked was that you could order smaller portions for the main course. It should be far higher up on the list for Nantwich restaurants.,2016.0,12.0
113,NickGutten,5,2016,12,mobile,Friends Christmas meal,"Shown to our table by friendly staff then visited the bar to choose from their extensive range of ales, German beers and craft cider.The meal was superb and enjoyed by all. Will definitely visit again!",2016.0,12.0
114,sammielollipop,5,2016,12,non-mobile,Lucky to be local!,"Visited on a few occasions now with various friends and not once have any been disappointed! Eaten in both the bar and restaurant and found them to be equally appealing.Sensible portion sizes too, certainly not Gastro!Great selection of food, beers, lagers and Gins.Great Yorkshire puddings too considering its not in Yorkshire ;o)Only negative is service in the restaurant was a little slow but if you want you food cooking fresh and properly it will be!",2016.0,12.0
115,peter c,5,2016,12,non-mobile,Excellent country pub,"I recently went to the Bhurtpore inn for a meal with a party of 5 people, The choice of menu was excellent I had the steak and ale pie this was the best pie I have had in a long time. the others had various main courses off the menu and the specials board. Each one of us commented on the quality and choice of meals available to us. There was also a good choice of sweets to choose from. There is a great number of casked ales and wines to sample as well.",2016.0,12.0
116,J0andChris,5,2016,11,mobile,Lovely pub with great selection of beer and food,"Wow really great pub, cosy friendly atmosphere, plenty of tables and friendly helpful staff. Great selection of real ales and Gins, with guest beers also. Standard menu plus specials (see photos for example) almost too much to choose from. Is off the beaten track but well worth a visit and reasonable prices. ",2016.0,11.0
117,Dextersmum666,5,2016,11,non-mobile,Very tasty food,"Visited the Bhurtpore on Friday evening, the food here is amazing. The pigs cheeks were incredibly tasty and tender and the sauce was heavenly. Sea bass, pie and duck dishes equally as good. Excellent service and good value means we are looking forward to our next visit. I would recommend booking as the restaurant filled up very quickly.",2016.0,11.0
118,stephaniesZ370XT,5,2016,11,mobile,Traditional food in a cosy traditional English pub,"Visited with my partner and his family after they were boasting about the delicious expansive menu earlier in the day. Recommend booking as it soon filled up by 8pm (Friday). The choice of craft beers, mains and desserts on the blackboard made it so difficult to choose as they all sounded delicious and stuck with traditional English dishes.I had the sea bass and my partner had the pig cheeks and they did not disappoint. The sea bass was such a light dish whereas the pig cheeks melted in your mouth in a rich red wine sauce. The desserts were also mouthwatering. Belgian waffle with honeycombs icecream, chocolate chip cheesecake, apple and blackberry crumble, Creme brûlée, meringue roll - safe to say we all dipped into each others!Great friendly service and a cosy environment (thanks to the open fires). ",2016.0,11.0
119,CheshireMinty,5,2016,11,mobile,Good Curry,"A fantastic choice of real ales, ciders and lagers.Called here for lunch & had curry (beef madras) An excellent choice as it was so flavoursome and melted in the mouth.Keep up the good work Bhurtpore!",2016.0,11.0
120,djne11026,4,2016,10,mobile,Lovely food,"The restaurant was quiet on a Monday in October but the food was of the usual high quality. The pork was delicious, duck sauce tasty and curries great. The service was efficient and friendly . The atmosphere with real fire was wonderful. The entrance and decor were helpful for elderly ladies who struggle to walk. We'll be back . Again! ",2016.0,10.0
121,bazza950,3,2016,10,non-mobile,not really a restaurant - a pub that does so so meals,"wouldn't return.Had to seek out the waitress after 20 minute wait for service. Couldn't see the menu - had to use phone torch to view it that , then walk to next room to see "" board with choices"". Was told it was an authentic indian food restuarant - sorry isn't.good size car park though",2016.0,10.0
122,gdbuttle,4,2016,10,mobile,A proper local ,"We have used the Bhurtpore on many occasions, this pub has a traditional country pub feeling about it, loads of good quality ales and beers to choose from. Food is of the traditional pub grub type, not the gastro pub food. Well known locally for their curry selection! Parking at the rear and a garden with tables. ",2016.0,10.0
123,Sue B,4,2016,9,non-mobile,Good food,"Four of us had dinner here. We were all pleased with our food and the range of the menu, the service was good and friendly but the decor is a bit tired and the chairs weren't all that comfortable.",2016.0,9.0
124,NbMaggieMay,5,2016,9,mobile,Always excellent,"We have visited on numerous occasions and the food is always excellent. Good choice of vegetarian food, including delicious curries, and the option of a veggie Sunday roast.",2016.0,9.0
125,JCDown,4,2016,9,mobile,En route,Serendipity brought us to this quite marvellous village pub which definitely punches above its weight classGood selection of food and likewise beersOwner told me the pub had been in the family for many years although the name changed from the Red LionWorth a stopover ,2016.0,9.0
126,garybN9948QE,4,2016,9,non-mobile,Great Find,"We set off to go to the Dusty Miller pub, but found it closed on Mondays. Asked a local where there might be an open pub in the area and was directed here.Cracking pub with a ridiculously large range of real ales. The staff were helpful and the barman ( not the landlord) was very knowledgable about the beers available and offered tasters of everything.Ales were well kept and served in spotlessly clean glasses.On the food menu were 6 different curries. I adopted for goat curry, whilst the other half had a minty lamb one.We both had the Indian starters served with chutney an yogurt dips.The starters were excellent. The mains were served with a bowl of basmati rice, and a poppadom each.In honesty my dish was a little to salty for my taste, but a spoonful of Debby's proved this feature to be restricted to mine. Hence my score above.If in the area I would definitely return",2016.0,9.0
127,dennis h,5,2016,9,non-mobile,Curries at the Bhurtpore,"An award winning Camera pub, the Bhurtpore offers a wide selection of ales and a wide selection of brandies and whiskies. The curry selection from the menu is excellent.",2016.0,9.0
128,FrankVito,4,2016,9,non-mobile,Very good - but could still be better......,"Have visited this pub for over 25 years - and of late there's always been something that's not just been quite right......The range of beers is typically outstanding - draught real ale, bottled, cask - and the food menu likewise in terms of range and quality. You genuinely won't be disappointed.However, prices are high, and the aged carpets and much of the internal décor / furniture / fittings, do now appear to need replacement or at least refurbishment.Now I've been told that this adds to the character, but to be honest it seems more like keeping up excessive profit margins with minimal spending - perhaps until the punters decide otherwise??",2016.0,8.0
129,Jill H,4,2016,8,mobile,A great location... and just what you want from a pub. Roaring fires in winter and a beer garden for summer. ,People travel far and wide for this pub... Great real ale. The wine menu needs improvement and the menu whilst extensive would benefit greatly from more seasonal food rather than frozen duck etc. in the height of summer. Service is with a smile ... ,2016.0,8.0
130,gdbuttle,5,2016,8,mobile,Our local!,"Always a great selection of guest beers and local ciders, nice garden at the rear with parking for cars. Famous locally for their curries. Food is varied with a specials board plus the normal range of pub grub. Friendly staff and old traditional country pub feel. ",2016.0,8.0
131,roryg678,5,2016,7,mobile,Just brilliant. ,I've been here more time than I can count and never had anything other than exceptional food and service. The drinks are great and the staff are fab. The Curry's are particularly brilliant. I would thoroughly recommend the Chicken & Spinach Curry. Great atmosphere. Just wish I could pick it up and move it closer to home. Very envious of the people that can call The Bhurtpore their local. ,2016.0,7.0
132,andrewheyes,3,2016,7,non-mobile,Lovely setting and good service but food could be better,"We visited the Bhurtpore on Sunday 17th July for a late lunch on a sunny afternoon. The staff were very friendly and attentive and the beer garden at the rear of the pub is fantastic, well kept, spacious and quiet. The interior of the pub is very much traditional pub style with the some modern extensions and has a terrific selection of ales although I wasn't able to sample these as I was driving. I ordered the bacon and mozzarella burgers from the specials board which was very tasty although the accompanying chips could have been crispier. However my wife's duck breast with cabbage in plum sauce was a disappointment. The duck breast was overcooked and largely flavourless and the plum sauce was more akin to a red wine sauce with too much off it and lacking the punchy sweet flavour of a good plum sauce. The cabbage was good but there was too little of it. The accompanying veg were at least well cooked and still had bite. Overall a pleasant visit but the food didn't excel above traditional pub grub and the execution of it was varied.",2016.0,7.0
133,derekCongleton,5,2016,7,non-mobile,Another Good Curry,"We were returning from a long day out in Wales. Several pubs and restaurants were suggested in the Nantwich area. I knew them all, but without hesitation chose the Bhurtpore. It's not fancy, but there is always a good choice of curries. There is evidently an excellent choice of beers. Our companions seemed particularly excited by one brew, 5.5%, whatever that means. I ordered a pot of tea which I thought was good too! Four assorted curries arrived promptly and they were all equally good. I tasted the vegetarian curry which was excellent and I almost wished I had ordered it. Still there is always next time.",2016.0,6.0
134,rockyWirral,5,2016,7,non-mobile,tasty,went today sunday as we did last week? I had the Chicken roast and loved it that much I had it again this week I'm getting hunger pains whilstv writing wish the placewas nearer I would be in there nearly every day but then id feel sorry for the staff. It was delicious had a Yorkshire pud so with the chipolata I had a chicken dinner and toad in the hole. It was really tasty and the all the guys n gals who work there are great,2016.0,7.0
135,JohnnyMcJohn,4,2016,6,non-mobile,An excellent pub,"A superb choice of real ales, real ciders lagers. Food, though not amazing is always consistently good.",2016.0,6.0
136,697cathb,5,2016,6,non-mobile,been a favourite of mine  for a long time,"simon and nicky great hosts love it here , food is stunning and simons currys to die for and the beer well say no more yum. great times had here ",2016.0,5.0
137,Feathers013,5,2016,6,non-mobile,"Great beer, great food, great atmosphere, great service, great Pub",Thoroughly enjoyed our Bhurtpore Inn experience. The food was absolutely superb. The chips rated a 9.75 on my chipometer which has rated chips around the world. Only one restaurant also in Britain has scored better and that speaks volumes.Do yourself a favour and try it for yourself. You won't be sorry.,2016.0,6.0
138,Steve B,4,2016,6,non-mobile,Another visit,Dropped in again to this very good eating establishment and had another enjoyable meal. Goat curry with half chips and half rice. Wifey had gammon with veg. All again was good and enjoyable............................,2016.0,6.0
139,Bruce2,5,2016,6,mobile,Always good,"My third visit over a ten year period. Wonderful selection of cask ales and ciders. Food still very good, well presented and well served. Good value. Will return next time I am in this part of Shropshire.",2016.0,6.0
140,Birchma1,4,2016,6,mobile,Bike stop,Had a ride out on a lovely sunny day and came across this little place it was lovely staff friendly and helpful. We had sandwiches which we reasonably priced and they had a good selection of real ales all again at a reasonable price well worth a pit stop if you are in the area there was a garden to the rear and it was all lovely and clean,2016.0,6.0
141,MarkinCheshire,5,2016,5,non-mobile,Good local pub with huge range of beers,"Good local pub with huge range of beers, also has a decent range of curries and othe menu items at reasonable prices.Worth a visit",2016.0,5.0
142,Nikki B,5,2016,5,non-mobile,What a great place!,"We have recently moved into the local area and have already been to the Bhurtpore twice. Once for Sunday lunch and then last Friday. We are going to be regulars here, the reason why?1. Really friendly, attentive staff.2. Fantastic home cooked food3. Great beersHave had a roast dinner (yum yum) and on Friday had a curry (delicious).What more can anyone want? Well having the pub next door but that's just being selfish! :-)",2016.0,5.0
143,Rob A,5,2016,5,non-mobile,Chicken Bhuna to die for,Had a fantastic meal here tonight. Good menu with a massive specials list. I choose the Chicken Bhuna and it was absolutely delicious. Staff were great and not pushy or rushing. Good selection of Beers. ,2016.0,5.0
144,rockyWirral,5,2016,4,non-mobile,top grub and great attentitive service,went for sunday grub we drive from wirral as we know the food is top notch and nothing is too much trouble to the team they have there. Weve been goin for years now always had great food i ad the Lamb Pudhina med it was delicious wife had steak and kidney pie and yes it had kidney innit unlike most places. They have a varied menu and a specials board and light meals and the best lasagne ive ever had. Its a must for trainspotters er real ale enthusiasts sorry. you wont be dissapointed. proper food and great and freindly staff,2016.0,4.0
145,johnhC5403QI,5,2016,4,non-mobile,Real Ale Mecca with Home Brewed Curries off the beaten track,"Organised by my wife's friends one Saturday. Travelled over from East Cheshire.About a mile walk from Wrenbury Station,a request stop in the countryside.Train every 2 hours to Crewe, but at least these run fairly late .Pointless driving if you wish to sample the impressive real ales , gins and whiskies ( as we did).See Photos.Excellent home prepared curries. Not cheap, but worth it. Mutton Rezala was excellent.Well worth the trip across from East to West Cheshire. a must for connoisseurs",2016.0,3.0
146,Trevor8225,5,2016,4,mobile,Great Menu Choices,"South Cheshire has an abundance of great country pubs all providing great food and drink offerings and the Bhurtpore can quite rightly hold its head held high amongst them all. An independent pub that well and truly competes against some of the multiples in the area. The menu choice has a full selection of all the staples but it is on their ""specials board"" where this pub excels. A massive selection of different types of curries are complemented by a whole host of other choices is staters and mains. This is a great destination and was a pleasure to be in last Saturday night.",2016.0,4.0
147,E6376CMadamk,3,2016,4,mobile,Great food but awful service.,"Food was great and a very good selection of beers, but service was awful, no one showed us to our table and it took 20 minutes for someone to give us menus. Food was very slow to arrive but when it came it was delicious. ",2016.0,4.0
148,Neil00,4,2016,4,non-mobile,A great pub,"If you live within walking distance of this pub then you are very fortunate. It's a very large place, a bit tired perhaps but that adds to its charm I think. There's a huge selection of real ales and everything we tried was in good condition. The menu is extensive and interesting. Curry is a speciality (I recommend the Bangladeshi venison). It's good value too. For 2 starters, 4 mains, 3 puddings, 4 pints and a couple of soft drinks we paid only £84.",2016.0,4.0
149,Nik W,5,2016,4,non-mobile,Possibly one of the best pubs anywhere?,"OK, where to start.1 - the food. A great choice, often using local ingredients. It can be a bit pricy, but you do get what you pay for.2 - the beer. A range of beers from around the UK, often featuring local breweries (often a Salopian beer is availsble). There is usually a range of strengths to, from session ale to lunatic soup.3 - the welcome email. Even though I only go 2 or even times a year, I am always made to feel welcome. I think it is worth travelling across Cheshire for.In short, TRY IT! I hope you will not be disappointed.",2016.0,4.0
150,lx123,5,2016,3,non-mobile,Best Pub EVER!,I have been visiting the Bhurtpore for over 10 years and it has with out doubt been consistently outstanding in every way. Always providing an interesting selecting of craft beers and wonderful food. Everything is simply spot on! Thank you! ,2016.0,3.0
151,royw326,5,2016,3,mobile,Still the best around Nantwich,"I last reviewed the Bhurtpore a few years ago and have eaten in there many times since.However, at short notice we had lunch with some friends on Mon29th Feb .Given the wide choice of eateries in the Nantwich area available to us, choosing the Bhurtpore to me is a no brainer.It gets better every timeThe overall experience is top notch with pleasant staff, an almost endless selection of beers and great food.The tables are a decent size, well spaced out and instead of piped music there are real fires with flames!!There is a very extensive menu, all chalked up on boards.Their curries are legendary.A nice touch, the desert menu is on its own board which is brought to your table, at the appropriate time.I had duck pate for starter and gammon, duck egg and black pudding for my main with salted caramel ice cream for desert.My fellow diners also enjoyed their choices and as I have said before, it was cleared plates all round .The Bhurtpore is dependable and they don't seem to have 'off' days.I Count myself very lucky to live only 4 miles away.",2016.0,2.0
152,jb53,5,2016,3,non-mobile,Best Pub Curry Anywhere,"Mutton Rezala and Lamb Passanda were both excellent. It would be very difficult to find an Indian restaurant that consistently cooks to this standard. The choice of draught beer is vast and they are all in very good condition. Staff are exceptionally pleasant so when all is considered, that is why we do a 50 mile round trip to visit.",2016.0,3.0
153,rockyWirral,5,2016,2,non-mobile,lovelley jubbly,"went sunday for dinner just fancied a curry which they do extremely well i might add. it was a choice between the bangladeshi venison curry which is awesome so it opted for the chicken tamil with lime. Oh my god it was delicious with a sour lime pickle after taste it was one of the best tasting curries ive had in a long time. They also have a really good selection of meals and a specials board and light meals, All sorts of beers and soft drinks aswell, The staff arent half bad either.",2016.0,2.0
